Round,Global_Accuracy,Client_0_Acc,Client_1_Acc,Client_2_Acc,Client_3_Acc,Client_4_Acc
1,0.9022222222222223,0.8888888888888888,0.9,0.9,0.8888888888888888,0.9444444444444444
2,0.8844444444444445,0.8666666666666667,0.8666666666666667,0.9,0.9,0.9555555555555556
3,0.9088888888888889,0.8777777777777778,0.9222222222222223,0.9,0.9,0.9333333333333333
4,0.9177777777777778,0.9,0.8777777777777778,0.9222222222222223,0.9666666666666667,0.9333333333333333
5,0.92,0.8777777777777778,0.9222222222222223,0.9222222222222223,0.9333333333333333,0.9333333333333333
6,0.9222222222222223,0.9444444444444444,0.9777777777777777,0.9222222222222223,0.9333333333333333,0.9333333333333333
7,0.9266666666666666,0.9333333333333333,0.9777777777777777,0.9333333333333333,0.9333333333333333,0.9333333333333333
8,0.9266666666666666,0.9,0.9555555555555556,0.9333333333333333,0.9888888888888889,0.9333333333333333
9,0.9222222222222223,0.9111111111111111,0.9222222222222223,0.9222222222222223,0.9333333333333333,0.9333333333333333
10,0.9222222222222223,0.9111111111111111,0.9444444444444444,0.9222222222222223,0.9444444444444444,0.9333333333333333
11,0.9244444444444444,0.9222222222222223,0.9666666666666667,0.9222222222222223,0.9777777777777777,0.9333333333333333
12,0.9355555555555556,0.9555555555555556,0.9555555555555556,0.9333333333333333,0.9666666666666667,0.9333333333333333
13,0.9355555555555556,0.9222222222222223,0.9777777777777777,0.9333333333333333,0.9888888888888889,0.9333333333333333
14,0.9444444444444444,0.9666666666666667,0.9888888888888889,0.9333333333333333,0.9777777777777777,0.9444444444444444
15,0.9377777777777778,0.9222222222222223,0.9222222222222223,0.9555555555555556,0.9777777777777777,0.9333333333333333
