FieldID,Date,pH,Moisture,Temperature,EC,Nitrogen,Phosphorus,Potassium,OrganicMatter,Rainfall,Cluster,SoilQuality
F01,2025-04-28,6.732083333333333,27.70895833333333,22.065833333333334,0.7616666666666667,107.97333333333334,34.424166666666665,166.91145833333334,3.2000000000000006,0.0,0,high
F01,2025-04-29,5.529375000000001,33.11229166666667,21.953333333333333,3.9054375,96.38458333333334,25.517291666666665,153.01666666666668,3.2000000000000006,750.72,0,high
F01,2025-04-30,4.202083333333333,44.35604166666667,22.066875,4.5,76.590625,8.342291666666666,130.94729166666667,3.2000000000000006,897.1200000000001,1,low
F01,2025-05-01,4.2,44.99875,22.17979166666667,4.5,57.965833333333336,0.0,110.31291666666665,3.2000000000000006,711.36,1,low
F01,2025-05-02,4.2,44.62770833333334,22.16,4.5,46.475,0.0,96.64166666666667,3.2000000000000006,256.32,1,low
F01,2025-05-03,4.2,43.370625,22.235416666666666,4.428708333333334,42.25958333333333,0.0,90.44416666666666,3.2000000000000006,0.0,1,low
F01,2025-05-04,4.2,41.2975,22.378333333333334,4.286104166666667,40.610625,0.0,86.98145833333332,3.2000000000000006,0.0,1,low
F01,2025-05-05,4.2,44.884375,22.362291666666668,4.5,16.277083333333334,0.0,60.342083333333335,3.2000000000000006,2330.3999999999996,1,low
F01,2025-05-06,4.2,42.7575,22.279375,4.459854166666667,0.0,0.0,35.759166666666665,3.2000000000000006,0.0,1,low
F01,2025-05-07,4.2,40.9225,22.534166666666668,4.2608958333333335,0.0,0.0,34.35208333333333,3.2000000000000006,0.0,1,low
F01,2025-05-08,4.2,38.25833333333333,22.364166666666666,4.1040625,0.0,0.0,33.036875,3.2000000000000006,0.0,1,low
F01,2025-05-09,4.2,44.539791666666666,22.461875000000003,4.5,0.0,0.0,10.286458333333334,3.2000000000000006,2424.0,1,low
F01,2025-05-10,4.2,43.270624999999995,22.473125,4.451375,0.0,0.0,0.0,3.2000000000000006,0.0,1,low
F01,2025-05-11,4.2,44.98458333333334,22.60875,4.5,0.0,0.0,0.0,3.2079166666666663,1709.28,1,low
F01,2025-05-12,4.2,42.625416666666666,22.464375,4.375062499999999,0.0,0.0,0.0,3.2099999999999995,0.0,1,low
F01,2025-05-13,4.2,40.50604166666667,22.826666666666668,4.2910625,0.0,0.0,0.0,3.2099999999999995,0.0,1,low
F01,2025-05-14,4.2,39.083333333333336,22.640416666666667,4.110458333333333,0.0,0.0,0.0,3.2099999999999995,0.0,1,low
F01,2025-05-15,4.2,43.915,22.763333333333335,4.497270833333333,0.0,0.0,0.0,3.2099999999999995,968.1600000000001,1,low
F01,2025-05-16,4.2,42.647083333333335,22.765625,4.424833333333333,0.0,0.0,0.0,3.2099999999999995,0.0,1,low
F01,2025-05-17,4.2,41.41583333333333,22.86520833333333,4.28775,0.0,0.0,0.0,3.2099999999999995,0.0,1,low
F01,2025-05-18,4.2,44.562916666666666,22.97583333333333,4.5,0.0,0.0,0.0,3.2099999999999995,625.4399999999999,1,low
F01,2025-05-19,4.2,45.0,22.966041666666666,4.5,0.0,0.0,0.0,3.2099999999999995,2034.72,1,low
F01,2025-05-20,4.2,42.984791666666666,23.10020833333333,4.5,0.0,0.0,0.0,3.2099999999999995,0.0,1,low
F01,2025-05-21,4.2,41.217708333333334,23.007499999999997,4.5,0.0,0.0,0.0,3.2099999999999995,0.0,1,low
F01,2025-05-22,4.2,44.875416666666666,22.974999999999998,4.5,0.0,0.0,0.0,3.2099999999999995,1812.0,1,low
F01,2025-05-23,4.2,45.0,23.152916666666666,4.5,0.0,0.0,0.0,3.2099999999999995,680.16,1,low
F01,2025-05-24,4.2,43.27770833333333,23.069791666666664,4.5,0.0,0.0,0.0,3.2099999999999995,0.0,1,low
F01,2025-05-25,4.2,41.22145833333334,23.285208333333333,4.5,0.0,0.0,0.0,3.2099999999999995,0.0,1,low
F01,2025-05-26,4.2,39.45166666666667,23.27,4.5,0.0,0.0,0.0,3.2102083333333336,0.0,1,low
F01,2025-05-27,4.2,37.872083333333336,23.401666666666667,4.5,0.0,0.0,0.0,3.22,0.0,1,low
F01,2025-05-28,4.2,36.739583333333336,23.316875,4.5,0.0,0.0,0.02020833333333333,3.22,0.0,1,low
F01,2025-05-29,4.2,35.118541666666665,23.295416666666668,4.5,0.0,0.0,6.980416666666667,3.22,0.0,1,low
F01,2025-05-30,4.2,43.018541666666664,23.234166666666667,4.5,0.0,0.0,7.724166666666666,3.22,1133.28,1,low
F01,2025-05-31,4.2,42.575625,23.520625,4.5,0.0,0.0,8.976041666666667,3.22,0.0,1,low
