FieldID,Date,pH,Moisture,Temperature,EC,Nitrogen,Phosphorus,Potassium,OrganicMatter,Rainfall,Cluster,SoilQuality
F02,2025-04-28,6.370625,23.122500000000002,22.215208333333333,1.5933958333333333,78.416875,19.714791666666667,117.66145833333333,2.32,0.0,0,high
F02,2025-04-29,5.157916666666666,29.04041666666667,22.037291666666665,4.1511458333333335,67.798125,11.281041666666667,105.69458333333334,2.32,750.72,0,high
F02,2025-04-30,4.2,42.31041666666667,22.16270833333333,4.5,49.13520833333333,0.3433333333333333,85.601875,2.33,897.1200000000001,1,low
F02,2025-05-01,4.2,44.99937499999999,22.170416666666668,4.5,31.735416666666666,0.0,66.70979166666667,2.33,711.36,1,low
F02,2025-05-02,4.2,44.81145833333333,22.180833333333336,4.5,21.270208333333333,0.0,54.68479166666666,2.33,256.32,1,low
F02,2025-05-03,4.2,42.92583333333334,22.283541666666665,4.480166666666666,18.11916666666667,0.0,50.26125,2.33,0.0,1,low
F02,2025-05-04,4.2,40.979791666666664,22.29958333333333,4.397166666666666,17.478333333333335,0.0,48.425000000000004,2.33,0.0,1,low
F02,2025-05-05,4.2,44.90375,22.360833333333332,4.5,2.945625,0.0,23.122500000000002,2.335625,2330.3999999999996,1,low
F02,2025-05-06,4.2,42.90562499999999,22.251041666666666,4.4185,0.0,0.0,0.0008333333333333334,2.34,0.0,1,low
F02,2025-05-07,4.2,40.90208333333333,22.36583333333333,4.324916666666667,0.0,0.0,0.03166666666666667,2.34,0.0,1,low
F02,2025-05-08,4.2,38.94979166666666,22.691041666666667,4.22575,0.0,0.0,0.03625,2.34,0.0,1,low
F02,2025-05-09,4.2,44.67645833333333,22.575625000000002,4.5,0.0,0.0,0.0,2.34,2424.0,1,low
F02,2025-05-10,4.2,42.931875,22.63291666666667,4.4518125,0.0,0.0,0.0,2.3410416666666665,0.0,1,low
F02,2025-05-11,4.2,44.97416666666667,22.718333333333334,4.5,0.0,0.0,0.0,2.35,1709.28,1,low
F02,2025-05-12,4.2,43.1575,22.416875,4.4043125000000005,0.0,0.0,0.0,2.35,0.0,1,low
F02,2025-05-13,4.2,42.14416666666667,22.745416666666667,4.283104166666667,0.0,0.0,0.0,2.35,0.0,1,low
F02,2025-05-14,4.2,39.599375,22.671875,4.225104166666667,0.0,0.0,0.0,2.35,0.0,1,low
F02,2025-05-15,4.2,44.11166666666667,22.7375,4.499125,0.0,0.0,0.0,2.35,968.1600000000001,1,low
F02,2025-05-16,4.2,43.569375,22.784791666666667,4.410354166666667,0.0,0.0,0.0,2.356666666666667,0.0,1,low
F02,2025-05-17,4.2,41.89125,22.886458333333334,4.253791666666666,0.0,0.0,0.0,2.36,0.0,1,low
F02,2025-05-18,4.2,44.55979166666666,22.848541666666666,4.49775,0.0,0.0,0.0,2.36,625.4399999999999,1,low
F02,2025-05-19,4.2,45.0,22.993958333333335,4.5,0.0,0.0,0.0,2.36,2034.72,1,low
F02,2025-05-20,4.2,42.60958333333333,23.033125,4.5,0.0,0.0,0.0,2.36,0.0,1,low
F02,2025-05-21,4.2,40.433749999999996,22.985416666666666,4.5,0.0,0.0,0.0,2.362083333333333,0.0,1,low
F02,2025-05-22,4.2,44.75,23.067708333333332,4.5,0.0,0.0,0.0,2.37,1812.0,1,low
F02,2025-05-23,4.2,44.99895833333333,23.175625,4.5,0.0,0.0,0.0,2.37,680.16,1,low
F02,2025-05-24,4.2,43.142500000000005,23.226041666666664,4.5,0.0,0.0,0.0,2.37,0.0,1,low
F02,2025-05-25,4.2,41.92166666666667,23.282708333333332,4.5,0.0,0.0,0.0,2.37,0.0,1,low
F02,2025-05-26,4.2,39.821875,23.252708333333334,4.5,0.0,0.0,0.0,2.37,0.0,1,low
F02,2025-05-27,4.2,37.674375,23.258333333333336,4.5,0.0,0.0,0.0,2.377708333333333,0.0,1,low
F02,2025-05-28,4.2,35.74375,23.27916666666667,4.5,0.0,0.0,0.0,2.38,0.0,1,low
F02,2025-05-29,4.2,34.60375,23.279791666666668,4.5,0.0,0.0,0.0,2.38,0.0,1,low
F02,2025-05-30,4.2,41.97375,23.319791666666664,4.5,0.0,0.0,0.0,2.38,1133.28,1,low
F02,2025-05-31,4.2,43.33229166666666,23.473125,4.5,0.0,0.0,0.0,2.38,0.0,1,low
F02,2025-06-01,4.2,42.19916666666666,23.638958333333335,4.5,0.0,0.0,0.0,2.383125,0.0,1,low
F02,2025-06-02,4.2,44.882083333333334,23.611041666666665,4.5,0.0,0.0,0.0,2.39,834.24,1,low
F02,2025-06-03,4.2,43.61083333333334,23.645,4.5,0.0,0.0,0.0,2.39,0.0,1,low
F02,2025-06-04,4.2,41.9675,23.597708333333333,4.5,0.0,0.0,1.18,2.39,0.0,1,low
F02,2025-06-05,4.2,40.49666666666666,23.637916666666666,4.5,4.491041666666667,0.0,9.997708333333334,2.39,0.0,1,low
F02,2025-06-06,4.2,38.52125,23.725624999999997,4.5,14.704166666666666,0.0,20.056041666666665,2.39,0.0,1,low
F02,2025-06-07,4.2,43.77,23.988333333333333,4.5,14.990833333333335,0.0,20.275208333333335,2.39875,926.8799999999999,1,low
F02,2025-06-08,4.2,42.862500000000004,23.855416666666667,4.5,16.163541666666667,0.0,20.863333333333333,2.4,0.0,1,low
F02,2025-06-09,4.2,44.82958333333334,23.763125,4.5,20.298958333333335,0.0,24.313958333333332,2.4,586.5600000000001,1,low
F02,2025-06-10,4.2,42.596250000000005,23.75583333333333,4.5,24.373958333333334,0.0,27.800625,2.4,0.0,1,low
F02,2025-06-11,4.2,44.92250000000001,24.047291666666666,4.5,13.17375,0.0,15.902708333333335,2.4,2091.84,1,low
F02,2025-06-12,4.2,42.709375,24.046458333333334,4.5,3.435208333333333,0.0,5.534791666666667,2.404166666666667,0.0,1,low
F02,2025-06-13,4.2,44.84104166666666,24.214375,4.5,5.2039583333333335,0.0,6.982916666666667,2.41,840.0,1,low
F02,2025-06-14,4.2,44.96645833333333,24.143541666666668,4.5,3.20375,0.0,4.795625,2.41,419.04,1,low
F02,2025-06-15,4.2,42.72833333333333,24.145,4.5,9.296875,0.0,10.864375,2.41,0.0,1,low
F02,2025-06-16,4.2,40.4675,24.153958333333335,4.5,19.306250000000002,0.0,20.641666666666666,2.41,0.0,1,low
F02,2025-06-17,4.2,44.809374999999996,24.270833333333332,4.5,8.459583333333333,0.0,9.310208333333334,2.41,2156.16,1,low
F02,2025-06-18,4.2,45.0,24.3875,4.5,0.0,0.0,0.0,2.4197916666666663,1319.04,1,low
F02,2025-06-19,4.2,44.92604166666666,24.530625,4.5,0.0,0.0,0.0,2.42,359.04,1,low
F02,2025-06-20,4.2,42.83270833333333,24.28895833333333,4.5,0.0,0.0,0.0,2.42,0.0,1,low
